Name,Links,Cost,Collections,Cuisines,Timings,num_cuisines,num_collections,avg_rating,rating_std,avg_pictures,avg_reviewer_followers,has_reviews,cost_bucket,cluster,cluster_label,pca_1,pca_2,cluster_label_ordered
Beyond Flavours,https://www.zomato.com/hyderabad/beyond-flavours-gachibowli,800.0,"Food Hygiene Rated Restaurants in Hyderabad, Corporate Favorites, Great Buffets, Top-Rated, Gold Curated, Live Sports Screenings","Chinese, Continental, Kebab, European, South Indian, North Indian","12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)",6,6,4.28,1.2397458195007949,0.39,134.14666666666668,1,Upper-Mid,2,Premium & Curated,-2.8569911338114746,1.7022995918872217,Premium & Curated
Paradise,https://www.zomato.com/hyderabad/paradise-gachibowli,800.0,Hyderabad's Hottest,"Biryani, North Indian, Chinese",11 AM to 11 PM,3,1,4.7,0.7719841941125453,0.02,9.279069767441861,1,Upper-Mid,2,Premium & Curated,-1.8146802972792313,-2.3506216842223018,Premium & Curated
Flechazo,https://www.zomato.com/hyderabad/flechazo-gachibowli,1300.0,"Great Buffets, Hyderabad's Hottest","Asian, Mediterranean, North Indian, Desserts","11:30 AM to 4:30 PM, 6:30 PM to 11 PM",4,2,4.66,0.878704280245187,0.55,40.411764705882355,1,Premium,2,Premium & Curated,-2.79313790705737,-1.1003542224098473,Premium & Curated
Shah Ghouse Hotel & Restaurant,https://www.zomato.com/hyderabad/shah-ghouse-hotel-restaurant-gachibowli,800.0,Late Night Restaurants,"Biryani, North Indian, Chinese, Seafood, Beverages",12 Noon to 2 AM,5,1,3.21,1.6036259419254109,0.3,155.82894736842104,1,Upper-Mid,1,Budget Everyday,0.5343142797220118,1.7777802912491414,Budget Everyday
Over The Moon Brew Company,https://www.zomato.com/hyderabad/over-the-moon-brew-company-gachibowli,1200.0,"Best Bars & Pubs, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated, Hyderabad's Hottest","Asian, Continental, North Indian, Chinese, Mediterranean","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)",5,5,4.34,1.0657192762437846,0.44,73.02083333333333,1,Upper-Mid,2,Premium & Curated,-3.101126728713628,0.7035194212468824,Premium & Curated
The Fisherman's Wharf,https://www.zomato.com/hyderabad/the-fishermans-wharf-gachibowli,1500.0,"Sunday Brunches, Corporate Favorites, Great Buffets, Hyderabad's Hottest, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated","Seafood, Goan, North Indian, Continental, Asian","12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 11:30PM (Mon, Tue, Wed, Thu, Sun), 12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 12Midnight (Fri-Sat)",5,7,4.22,1.0878576852853243,1.13,145.16470588235293,1,Premium,2,Premium & Curated,-4.082216902838992,1.5177453674729504,Premium & Curated
eat.fit,https://www.zomato.com/hyderabad/eat-fit-gachibowli,500.0,Food Hygiene Rated Restaurants in Hyderabad,"Healthy Food, North Indian, Continental, South Indian",7 AM to 10 PM,4,1,3.2,1.5954480704349314,0.58,251.97368421052633,1,Budget,1,Budget Everyday,0.9370050669556017,1.1868205482467182,Budget Everyday
Shah Ghouse Spl Shawarma,https://www.zomato.com/hyderabad/shah-ghouse-spl-shawarma-gachibowli,300.0,,Lebanese,12 Noon to 12 Midnight,1,0,3.43,1.6283783840422843,0.09,149.63291139240508,1,Budget,1,Budget Everyday,2.2098571467355335,-0.9359475480064773,Budget Everyday
Hyper Local,https://www.zomato.com/hyderabad/hyper-local-gachibowli,1000.0,"Great Buffets, Live Sports Screenings, Best Bars & Pubs, Trending This Week","American, Chinese, North Indian, Kebab, South Indian",12 Noon to 12 Midnight,5,4,3.64,1.487455966583634,1.31,170.3372093023256,1,Upper-Mid,0,Mid-Premium / Photogenic,-1.5470309031374148,2.0399947959233398,Mid-Premium / Photogenic
Cream Stone,https://www.zomato.com/hyderabad/cream-stone-gachibowli,350.0,Frozen Delights,"Ice Cream, Desserts","10 AM to 1 AM (Mon-Thu), 10 AM to 1:30 AM (Fri-Sun)",2,1,3.845,1.520391695942499,0.43,159.03614457831324,1,Budget,1,Budget Everyday,0.8959613961024853,-0.7151166829793331,Budget Everyday
